sim,PU,PSWU,xt_opt,cost
1,38.56562167016713,85.32155798140143,0.04999999851731072,-6.4741382316587535
2,27.459624469131615,73.04511875559216,0.04999999851731072,-6.190431506420504
3,34.35583290445938,77.26583502242521,0.04999999851731072,-5.929158796395693
4,27.878422959808663,73.18941715123441,0.04999999851731072,-6.160161942656211
5,30.978731621512875,66.3571331171367,0.04999999851731072,-4.920292075157878
6,36.42185157528826,77.10317726245154,0.04999999851731072,-5.667394672544468
7,26.855802363956492,64.59250679301353,0.04999999851731072,-5.174049314761103
8,26.623258503698658,74.65762523576572,0.04999999851731072,-6.495256875821227
9,21.69917200162117,69.15964499551778,0.04999999851731072,-6.36240389110197
10,29.106119384720433,60.889517603671145,0.04999999851731072,-4.435610652237546
11,32.80460493626608,65.9124588401587,0.04999999851731072,-4.650263848089692
12,26.97300126032177,79.47734890260188,0.04999999851731072,-7.074169124829483
13,26.051590330449333,63.93244754037036,0.04999999851731072,-5.182936629922283
14,31.388916420979537,69.28361368168223,0.04999999851731072,-5.248739008295116
15,32.75751111547668,72.26087953954335,0.04999999851731072,-5.471986737848045
16,37.03459915978198,70.32537386951824,0.007110000129997521,-1.079436676359965e10
17,27.27976318868605,66.8797918791226,0.04999999851731072,-5.418707265543351
18,31.62727890383089,61.484472421045055,0.04999999851731072,-4.218195658150894
19,24.975025100802554,67.1205993631906,0.04999999851731072,-5.718348556558205
20,29.372887133437075,76.85379892642456,0.04999999851731072,-6.457080418671677
21,31.467250174027274,77.49090733434524,0.04999999851731072,-6.294839984561525
22,31.9053676186372,60.78057305862266,0.04999999851731072,-4.095274681383865
23,30.24606367805133,66.23886468691678,0.04999999851731072,-4.990498419572184
24,30.737183786086447,72.99704287284813,0.04999999851731072,-5.80216138086662
25,33.32689515750292,76.2891078813783,0.04999999851731072,-5.923529212466523
26,25.288805662652667,78.78246999610784,0.04999999851731072,-7.1811656602339555
27,26.83987427243724,59.82403721640849,0.04999999851731072,-4.562811737238402
28,33.541281629722896,68.90628704425399,0.04999999851731072,-4.9493083104453115
29,29.020996894355136,76.7389556914309,0.04999999851731072,-6.48333712774598
30,27.32596767527672,66.74557462326847,0.04999999851731072,-5.3960642143716155
31,29.540455822512648,74.54737957751205,0.04999999851731072,-6.141003436326423
32,35.716459356368304,72.97855813085853,0.04999999851731072,-5.219314446133803
33,24.156308906010167,66.99214912945595,0.04999999851731072,-5.797277069622445
34,30.675947939327305,67.15490918848643,0.04999999851731072,-5.058161894126709
35,31.892752865498498,74.79163324605234,0.04999999851731072,-5.898183415934685
36,28.895814566859194,68.656228381903,0.04999999851731072,-5.458713445912202
37,36.1928096951894,72.51246476304026,0.04999999851731072,-5.103856002435735
38,32.0484661459604,64.34876253898791,0.04999999851731072,-4.5373639705653135
39,34.464627014789905,77.00336557370007,0.04999999851731072,-5.882729503186246
40,21.67412915003721,63.561838282339764,0.04999999851731072,-5.64559887292187
41,30.913215902255065,70.05894647458328,0.04999999851731072,-5.403881408122083
42,38.21403868832115,72.33117104633511,0.007110000129997521,-1.113813456901278e10
43,32.05128025179848,63.749059875914554,0.04999999851731072,-4.459930591862054
44,32.336112370509625,70.69399562831678,0.04999999851731072,-5.31965394371211
45,30.90643609015939,65.27913510175182,0.04999999851731072,-4.790119105258594
46,25.896593016677375,67.62633420970874,0.04999999851731072,-5.675938327281573
47,28.2434234063357,78.24220305320192,0.04999999851731072,-6.767260904589648
48,15.91421541407975,57.10529205487701,0.04999999851731072,-5.486939036126051
49,29.661346220223223,76.10260991441203,0.04999999851731072,-6.326870340149634
50,36.09835757937161,59.69270105201122,0.007110000129997521,-1.0521483188382973e10
51,30.101643070812948,62.323503737430364,0.04999999851731072,-4.503926523745289
52,31.766708258780135,67.98865733774377,0.04999999851731072,-5.038201194234911
53,36.09517549409894,74.41370409130953,0.04999999851731072,-5.3596851736116715
54,18.654615599671427,53.71124008878001,0.04999999851731072,-4.7310886764804785
55,30.684140850409186,79.24625488793734,0.04999999851731072,-6.611822285751723
56,35.0670414743114,80.3169275373258,0.04999999851731072,-6.238534882941935
57,29.30641625970253,74.46182360338513,0.04999999851731072,-6.1572869751058175
58,27.457378297350036,66.74986291322566,0.04999999851731072,-5.381296080587374
59,30.440900147037862,68.54679308170996,0.04999999851731072,-5.264521223427215
60,18.69656018253908,73.91042892380706,0.04999999851731072,-7.3232606918064524
61,27.40882263583278,60.29960453536434,0.04999999851731072,-4.557630212467014
